Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
2500,2499,3124808.2,53272.2,25006,5000,3140183.7,252314,50016,0.001322817802429190 ,0.408992457389831000 ,0.019522690773010200 ,0.003898358345031730 
2600,2599,3380214.2,55605.3,26005,5200,3394997.3,263787.2,52014,0.001295280456542960 ,0.421711730957031000 ,0.018631505966186500 ,0.004247784614562980 
2700,2699,3644615.7,57990.1,27006,5400,3661018.3,275308.4,54016,0.001234650611877440 ,0.472286200523376000 ,0.019982552528381300 ,0.005299401283264160 
2800,2799,3920158.8,60328.9,28007,5600,3936732.5,286746.4,56018,0.001239681243896480 ,0.606214642524719000 ,0.020703697204589800 ,0.005058503150939940 
2900,2899,4204699.8,62764.6,29007,5800,4222403.2,298094.8,58018,0.001754283905029290 ,0.701610159873962000 ,0.023759889602661100 ,0.004893708229064940 
3000,2999,4500046.9,65211.9,30008,6000,4518131.7,309729.6,60020,0.001397371292114250 ,0.595690369606018000 ,0.022320365905761700 ,0.005451488494873040 
3100,3099,4804974.3,67614.9,31006,6200,4823202.6,320982,62016,0.001496601104736320 ,0.627687025070190000 ,0.024405789375305100 ,0.004605650901794430 
3200,3199,5119855.1,69998.5,32004,6400,5139360.7,332461.6,64012,0.001518249511718750 ,0.665913772583007000 ,0.024073648452758700 ,0.004693388938903800 
3300,3299,5444661,72377.3,33007,6600,5464289,344048.4,66018,0.001573681831359860 ,0.693174767494201000 ,0.026198148727416900 ,0.005042767524719230 
3400,3399,5779886.9,74764.9,34006,6800,5800834.7,355609.6,68016,0.002394866943359370 ,0.745942783355712000 ,0.025917029380798300 ,0.005175018310546870 
3500,3499,6124873.2,77232.9,35008,7000,6145534.2,366964.4,70020,0.001697444915771480 ,0.776241660118103000 ,0.026592850685119600 ,0.005516648292541500 
3600,3599,6479967.6,79669.7,36005,7200,6501732.7,378452,72014,0.001731538772583000 ,0.838269257545471000 ,0.026778149604797300 ,0.005386257171630850 
3700,3699,6845326.4,82092.8,37008,7400,6866930.5,389958.8,74020,0.001891374588012690 ,0.873443245887756000 ,0.029237294197082500 ,0.005545639991760250 
3800,3799,7219869.7,84601.4,38008,7600,7242653.6,401504,76020,0.002042698860168450 ,0.955786800384521000 ,0.029148077964782700 ,0.005967330932617180 
3900,3899,7604689.9,87085,39009,7800,7628621.1,412823.6,78022,0.001803135871887200 ,1.055943608283990000 ,0.029999279975891100 ,0.005925369262695310 
4000,3999,7999391.1,89658.3,40007,8000,8024773.1,424290.4,80018,0.001824450492858880 ,0.981257367134094000 ,0.031916069984436000 ,0.006095719337463370 
4100,4099,8404715.6,92263.4,45103,8200,8429697.7,435907.6,90210,0.002092075347900390 ,1.126643610000610000 ,0.032309508323669400 ,0.006704616546630850 
4200,4199,8819949.1,94458.1,46205,8400,8845137.7,447913.6,92414,0.001896452903747550 ,1.231199717521660000 ,0.032623529434204100 ,0.007254123687744140 
4300,4299,9245473.8,96868.5,47306,8600,9271312.3,460191.6,94616,0.002505397796630850 ,1.293096804618830000 ,0.033732628822326600 ,0.007076787948608390 
4400,4399,9680497.2,99273.1,48405,8800,9706211.3,472274.4,96814,0.002105998992919920 ,1.344998049736020000 ,0.035744404792785600 ,0.007525682449340820 
4500,4499,10124602.6,101715.4,49506,9000,10152449.7,484379.6,99016,0.002046680450439450 ,1.343574881553650000 ,0.034974098205566400 ,0.008206653594970700 
4600,4599,10579830.7,104175.9,50608,9200,10606956,496536,101220,0.002191281318664550 ,1.418754076957700000 ,0.038773512840270900 ,0.008198642730712890 
4700,4699,11045621.2,106559.8,51707,9400,11072981.5,508650.8,103418,0.002273488044738760 ,1.573156476020810000 ,0.036844968795776300 ,0.007714509963989250 
4800,4799,11519527.6,109030.1,52805,9600,11549216.7,520876,105614,0.002912163734436030 ,1.581514215469360000 ,0.038151144981384200 ,0.008477258682250970 
4900,4899,12005046,111537,53906,9800,12035038.3,533074,107816,0.002377772331237790 ,1.694526338577270000 ,0.040063762664794900 ,0.008166527748107910 
5000,4999,12499970.8,114039.8,55006,10000,12530168.6,545193.6,110016,0.002483844757080070 ,1.702871942520140000 ,0.039522957801818800 ,0.008485531806945800 
