Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
1300,420803,14947.8,24448.8,23440.7,1277164.5,36794.3,98078.8,94969.2,0.177213144302368000 ,0.003412580490112300 ,0.007769513130187980 ,0.006441450119018550 
1400,486864.2,16006.5,26570.7,23319.5,1462062.5,40560.5,106716.2,91014.6,0.209422779083251000 ,0.003862786293029780 ,0.009185600280761710 ,0.006285333633422850 
1500,561287.5,17337.8,28677.9,25173.7,1705625.2,43815,115579.2,97926,0.241019320487976000 ,0.004192304611206050 ,0.012042522430419900 ,0.007158350944519040 
1600,639232.1,18724.9,30846.2,30952.2,1928637,47855.7,124157,132456,0.270826363563537000 ,0.005030298233032220 ,0.011305141448974600 ,0.009729981422424310 
1700,722216.1,20992.1,33024,29689.4,2166881.9,50423.7,132921.6,122761.6,0.312742018699646000 ,0.005301165580749510 ,0.011024904251098600 ,0.009046840667724600 
1800,809568.3,21603.1,35186.8,36239,2460927.7,54316.5,141615.2,156850.4,0.340834665298461000 ,0.005030727386474610 ,0.012279725074768000 ,0.010660696029663000 
1900,905518.2,23396.8,37351.1,32893.7,2701807.8,56089.6,150652.6,135589.8,0.396732878684997000 ,0.005646038055419920 ,0.011892342567443800 ,0.009222602844238280 
2000,998318.1,24817,39572.1,36071.9,3015210.5,61113.6,159641.8,146908.6,0.450535535812377000 ,0.006082034111022940 ,0.013752865791320800 ,0.010948586463928200 
2100,1105662.9,26168.5,41779.8,41812.6,3314313.7,63967.5,168729.6,169475.8,0.479221057891845000 ,0.006031727790832520 ,0.013565754890441800 ,0.011905288696289000 
2200,1208012,27562.9,43935.9,41709.8,3634443.3,68062.4,177562.2,168214.6,0.517977428436279000 ,0.006677460670471190 ,0.015293669700622500 ,0.011754608154296800 
2300,1309958.2,28871.5,46210.8,42889.6,3978563.3,71501.2,186704,169122.8,0.552649259567260000 ,0.006794118881225580 ,0.015150880813598600 ,0.012490057945251400 
2400,1444893.5,30377.1,48405.8,47815.3,4281355.6,73619.5,195918.4,191067.2,0.620403432846069000 ,0.007254290580749510 ,0.016361165046691800 ,0.014067506790161100 
2500,1558287.1,31878.4,50565.6,49964.2,4677127.2,77666.9,205318.8,198923.4,0.680112957954406000 ,0.007641625404357910 ,0.016637849807739200 ,0.014729118347167900 
2600,1687951,33601.1,52848.6,53432.1,5115400.7,81298.6,214582.8,227841.4,0.726072645187377000 ,0.008543992042541500 ,0.018355679512023900 ,0.015157842636108300 
2700,1827718.1,34847.5,55090.6,53723.8,5480533.6,85014.8,223777.8,220058,0.787049722671508000 ,0.008056998252868650 ,0.017954277992248500 ,0.016288495063781700 
2800,1949075.6,35403.7,57357,54986.7,5901245.4,88767,233098.8,219249,0.839461827278137000 ,0.008525896072387690 ,0.020069241523742600 ,0.016044425964355400 
2900,2102615.9,38856.6,59625.3,56655.3,6329300,92307.5,242558,227250,0.895720958709716000 ,0.009507298469543450 ,0.020836448669433500 ,0.016913723945617600 
3000,2240815.4,39062,61970.4,58460.7,6775652.5,95558.7,251931.4,236405.8,0.956190466880798000 ,0.009375214576721190 ,0.021477246284484800 ,0.016682505607604900 
3100,2407254.3,40632.6,64218.2,75846.4,7184741.1,99983.8,261232.6,338996.4,1.019480943679800000 ,0.009985518455505370 ,0.021952295303344700 ,0.022968363761901800 
3200,2555230.6,43783.8,66492.4,76249.6,7658275.7,104703.2,270630.2,334710.8,1.099116802215570000 ,0.009786915779113770 ,0.022700166702270500 ,0.022805070877075100 
3300,2730344.8,44628.1,68799.2,67384.8,8149793.8,106103,280138.6,282492,1.183332991600030000 ,0.011760568618774400 ,0.024354863166809000 ,0.019441866874694800 
3400,2907849,46167.6,71096,69555,8686647.9,110167.8,289723.6,291270.6,1.247267794609060000 ,0.010790872573852500 ,0.024468874931335400 ,0.021840071678161600 
3500,3071338.4,47544.2,73418.3,70128.3,9164323.7,114888.4,298999,288964.4,1.324456262588500000 ,0.010950040817260700 ,0.025305891036987300 ,0.021083021163940400 
3600,3239212.9,48768.3,75752.3,85560.4,9689259.7,117106,308780.6,372947.8,1.382179188728330000 ,0.011302995681762600 ,0.026107144355773900 ,0.026281476020812900 
3700,3422306.3,50794.5,78077.5,74927.3,10260621.9,120948.5,318387.4,311964.4,1.466833686828610000 ,0.012046909332275300 ,0.026488924026489200 ,0.023363256454467700 
